"list_name","name_choice","label_choice","name_new","country"
"4_1_1_1","1","Can write only",NA,"global"
"4_1_1_1","0","Can't read or write",NA,"global"
"4_1_1_1","777","Prefer not to say","unknown","global"
"4_1_1_4","1","Yes",NA,"global"
"4_1_1_4","0","No",NA,"global"
"4_1_1_4","2","I don't know",NA,"global"
"4_1_1_5_3","1","Yes",NA,"global"
"4_1_1_5_3","0","No",NA,"global"
"4_1_1_5_4","4","We are currently able to meet our loan repayments and confident that we can meet our future repayments.",NA,"global"
"4_1_1_5_4","3","We are currently able to meet our loan repayments, but uncertain about meeting future repayments.",NA,"global"
"4_1_1_5_4","2","We are currently not able to meet our loan repayments, but confident about meeting future repayments.",NA,"global"
"4_1_1_5_4","1","We are currently not able to meet our loan repayments and uncertain about meeting future repayments.",NA,"global"
"4_1_1_6","1","Yes, fully covered","2","global"
"4_1_1_6","2","Yes, partially covered","1","global"
"4_1_1_6","0","No","0","global"
"4_1_1_6_1","bank","Bank",NA,"global"
"4_1_1_6_1","cooperative","Cooperative",NA,"global"
"4_1_1_6_1","microfinance","Microfinance Institutions",NA,"global"
"4_1_1_6_1","government_program","Governamental agricultural loan programs",NA,"global"
"4_1_1_6_1","ngo","NGOs",NA,"global"
"4_1_1_6_1","association","Farmers' associations/organizations",NA,"global"
"4_1_1_6_1","friend","Friend loans",NA,"global"
"4_1_1_6_1","family","Family loans",NA,"global"
"4_1_1_6_1","insurance","Agricultural Insurance Companies",NA,"global"
"4_1_1_6_1","trade","Trade Credit (e.g., from buyers, processors, or retailers)",NA,"global"
"4_1_1_6_1","supplier","Supplier Credit (e.g., from input suppliers, equipment dealers)",NA,"global"
"4_1_1_6_1","other","Other (please specify)",NA,"global"
"4_1_1_6_2","machinery","Investments in machinery",NA,"global"
"4_1_1_6_2","fertilizer_pesticide","Investments to buy fertilizers or pesticides",NA,"global"
"4_1_1_6_2","storage","Investments to build storage",NA,"global"
"4_1_1_6_2","processing_facilities","Investments to build processing facilities",NA,"global"
"4_1_1_6_2","less_intense","Investments to change to less intensive farm production system e.g. to organic",NA,"global"
"4_1_1_6_2","plant_trees","Investments to plant trees on-farm",NA,"global"
"4_1_1_6_2","irrigation","Investem in irrigation system (e.g., drip irrigation)",NA,"global"
"4_1_1_6_2","livestock_sheds","Investment to build livestock sheds",NA,"global"
"4_1_1_6_2","water_storage","Investment to build water storage facility",NA,"global"
"4_1_1_6_2","bee","Investment in bee keeping",NA,"global"
"4_1_1_6_2","other","Other (please specify)",NA,"global"
"4_1_1_7","1","Yes",NA,"global"
"4_1_1_7","0","No",NA,"global"
"4_1_2_1","1","Extreme weather events (e.g. cyclones, dust storm, excess rainfall, insuficient rainfall, frost, high temperatures, high winds)",NA,"global"
"4_1_2_1","2","Death of a household member",NA,"global"
"4_1_2_1","3","Government change",NA,"global"
"4_1_2_1","4","Indebtedness",NA,"global"
"4_1_2_1","5","Market disruptions",NA,"global"
"4_1_2_1","6","Fire or burning",NA,"global"
"4_1_2_1","7","Landslides",NA,"global"
"4_1_2_1","8","Pest or disease outbreaks",NA,"global"
"4_1_2_1","9","Policy changes",NA,"global"
"4_1_2_1","10","Price fluctuations in market",NA,"global"
"4_1_2_1","11","Severe illness of a household member",NA,"global"
"4_1_2_1","none","None",NA,"global"
"4_1_2_1","other","Other (please specify)",NA,"global"
"4_1_2_1_2","1","Accessed insurance or risk management mechanisms",NA,"global"
"4_1_2_1_2","2","Diversified on-farm income sources of income",NA,"global"
"4_1_2_1_2","3","Engage in off-farm income sources",NA,"global"
"4_1_2_1_2","4","Migrated",NA,"global"
"4_1_2_1_2","5","Reduced area under cultivation",NA,"global"
"4_1_2_1_2","6","Reduced food consumption",NA,"global"
"4_1_2_1_2","7","Reduced household expenditure",NA,"global"
"4_1_2_1_2","8","Relied on institutional support",NA,"global"
"4_1_2_1_2","9","Sold assets",NA,"global"
"4_1_2_1_2","10","Switched from chemical to organic farming",NA,"global"
"4_1_2_1_2","11","Switched from organic to chemical farming",NA,"global"
"4_1_2_1_2","12","Taken loans",NA,"global"
"4_1_2_1_2","other","Other (please specify)",NA,"global"
"4_1_2_1_2","none","Nothing",NA,"global"
"4_1_2_2","none","None",NA,"global"
"4_1_2_2","1_25","1-25%",NA,"global"
"4_1_2_2","26_50","26-50%",NA,"global"
"4_1_2_2","51_75","51-75%",NA,"global"
"4_1_2_2","76_100","76-100%",NA,"global"
"4_1_3_2","1","Yes",NA,"global"
"4_1_3_2","0","No",NA,"global"
"4_1_3_2","i-dont-know","I don't know",NA,"global"
"4_1_4_1","1","Yes",NA,"global"
"4_1_4_1","0","No",NA,"global"
"4_1_4_1_1","5","More than one meal per day every day.",NA,"global"
"4_1_4_1_1","4","At least one meal per day every day.",NA,"global"
"4_1_4_1_1","3","One meal per day on most days.",NA,"global"
"4_1_4_1_1","2","One meal per day occasionally.",NA,"global"
"4_1_4_1_1","1","No meals.",NA,"global"
"4_1_5","1","Yes",NA,"global"
"4_1_5","0","No",NA,"global"
"4_1_5_2","walking","Walking",NA,"global"
"4_1_5_2","cycling","Cycling",NA,"global"
"4_1_5_2","motorbike","Motorbike",NA,"global"
"4_1_5_2","car","Car",NA,"global"
"4_1_5_2","horse","Horse",NA,"global"
"4_1_5_2","donkey","Donkey",NA,"global"
"4_1_7_1","3","Steep",NA,"global"
"4_1_7_1","2","Moderately steep",NA,"global"
"4_1_7_1","1","Slightly steep",NA,"global"
"4_1_7_1","0","Flat",NA,"global"
"4_1_7_2","2","Soil erosion is a major problem on my farm.",NA,"global"
"4_1_7_2","1","Soil erosion is a minor problem on my farm.",NA,"global"
"4_1_7_2","0","Soil erosion is not a problem on my farm.",NA,"global"
"4_1_7_3","3","Highly fertile",NA,"global"
"4_1_7_3","2","Moderate fertily",NA,"global"
"4_1_7_3","1","Low fertility",NA,"global"
"4_1_7_3","0","Infertile",NA,"global"
"4_2_1_1","increase","Increased","1","global"
"4_2_1_1","nochange","No change","0","global"
"4_2_1_1","decrease","Decreased","-1","global"
"4_2_1_1","notsure","I am not sure",NA,"global"
"4_2_1_2","startlater","Rainfall starts later",NA,"global"
"4_2_1_2","startearlier","Rainfall starts earlier",NA,"global"
"4_2_1_2","stopearlier","Rainfall stops earlier",NA,"global"
"4_2_1_2","stoplater","Rainfall stops later",NA,"global"
"4_2_1_2","unpredictable","Rainfall start and/or stop are no longer predictable",NA,"global"
"4_2_1_2","nochange","No change",NA,"global"
"4_2_1_2","notsure","I am not sure",NA,"global"
"4_2_1_3","1","Yes",NA,"global"
"4_2_1_3","0","No",NA,"global"
"4_2_1_3","notsure","I am not sure",NA,"global"
"consent","1","Yes",NA,"global"
"consent","0","No",NA,"global"
"4_1_1_5","1","Yes, we needed credit but could not obtain it.",NA,"global"
"4_1_1_5","0","No, we did not need credit during that period.",NA,"global"
"4_1_1_5","2","Yes, we needed credit and were able to obtain it.",NA,"global"
"4_1_1_5","3","Don't know / Not sure",NA,"global"
"1_2_1_12_1","0","None",NA,"global"
"1_2_1_12_1","1","Primary",NA,"global"
"1_2_1_12_1","2","Secondary",NA,"global"
"1_2_1_12_1","3","Higher",NA,"global"
"1_2_1_12_1_1","0","No years completed",NA,"global"
"1_2_1_12_1_1","1","1st year completed",NA,"global"
"1_2_1_12_1_1","2","2nd year completed",NA,"global"
"1_2_1_12_1_1","3","3rd year completed",NA,"global"
"1_2_1_12_1_1","4","4th year completed",NA,"global"
"1_2_1_12_1_1","5","5th year completed",NA,"global"
"1_2_1_12_1_1","6","6th year completed",NA,"global"
"1_2_1_12_1_1","7","7th year completed",NA,"global"
"1_2_1_12_1_2","0","No years completed",NA,"global"
"1_2_1_12_1_2","1","1st year completed",NA,"global"
"1_2_1_12_1_2","2","2nd year completed",NA,"global"
"1_2_1_12_1_2","3","3rd year completed",NA,"global"
"1_2_1_12_1_2","4","4th year completed",NA,"global"
"1_2_1_12_1_2","5","5th year completed",NA,"global"
"1_2_1_12_1_2","6","6th year completed",NA,"global"
"1_2_1_12_1_2","7","7th year completed",NA,"global"
"1_2_1_12_1_3","0","No years completed",NA,"global"
"1_2_1_12_1_3","1","1 year completed",NA,"global"
"1_2_1_12_1_3","2","2 years completed",NA,"global"
"1_2_1_12_1_3","3","3 years completed",NA,"global"
"1_2_1_12_1_3","4","4 years completed",NA,"global"
"1_2_1_12_1_3","5","5 years completed",NA,"global"
"1_2_1_12_1_3","6","6 years completed",NA,"global"
"1_2_1_12_1_3","7","7 years completed",NA,"global"
"1_2_1_12_1_3","8","8 years completed",NA,"global"
"1_2_1_12_1_3","9","9 years completed",NA,"global"
"1_2_1_12_1_3","10","10 years completed",NA,"global"
"1_2_1_17","km","Kilometers",NA,"global"
"1_2_1_17","minutes","Minutes",NA,"global"
"3_3_2_1_5_9_1","Monoculture_annual","Monoculture with annual crops",NA,"global"
"3_3_2_1_5_9_1","Monoculture_perennial","Monoculture with perennial crops",NA,"global"
"3_3_2_1_5_9_1","Agroforestry","Agroforestry",NA,"global"
"3_3_2_1_5_9_1","Burning_crop_residues","Burning crop residues",NA,"global"
"3_3_2_1_5_9_1","Cover_crops","Cover crops",NA,"global"
"3_3_2_1_5_9_1","Crop_rotation","Crop rotation",NA,"global"
"3_3_2_1_5_9_1","Fallow","Fallow (leave land unproductive)",NA,"global"
"3_3_2_1_5_9_1","Hedgerows/Live_fences","Hedgerows/Live fences",NA,"global"
"3_3_2_1_5_9_1","Homegarden","Homegarden",NA,"global"
"3_3_2_1_5_9_1","Intercropping","Intercropping",NA,"global"
"3_3_2_1_5_9_1","Land_clearing_for_agriculture","Land clearing for agriculture",NA,"global"
"3_3_2_1_5_9_1","Mulching","Mulching",NA,"global"
"3_3_2_1_5_9_1","Natural_strips/vegetation","Natural strips/vegetation",NA,"global"
"3_3_2_1_5_9_1","Pollinator/Flower_strips","Pollinator/Flower strips",NA,"global"
"3_3_2_1_5_9_1","Push-pull","Pull-push",NA,"global"
"3_3_2_1_5_9_1","other","Other (please specify)",NA,"global"
